"","Alameda","Alpine","Amador","Butte","Calaveras","Colusa","Contra Costa","Del Norte","El Dorado","Fresno","Glenn","Humboldt","Imperial","Inyo","Kern","Kings","Lake","Lassen","Los Angeles","Madera","Marin","Mariposa","Mendocino","Merced","Modoc","Mono","Monterey","Napa","Nevada","Orange","Placer","Plumas","Riverside","Sacramento","San Benito","San Bernardino","San Diego","San Francisco","San Joaquin","San Luis Obispo","San Mateo","Santa Barbara","Santa Clara","Santa Cruz","Shasta","Sierra","Siskiyou","Solano","Sonoma","Stanislaus","Sutter","Tehama","Trinity","Tulare","Tuolumne","Ventura","Yolo","Yuba"
"Placer",104.75,463.683,81.45,325.317,102.25,82.6,84.317,404.617,51.583,172.2,109.017,318.95,523.85,330.267,261.5,300.967,155.583,198.683,346.117,152.567,105.667,165.567,241.65,127.133,240.75,223.617,191.367,85.1,393.333,374.683,0,117.617,388.483,34.95,205.817,387.5,448.817,107.883,184.083,282.383,123.667,372.983,134.567,161.483,169.1,127.667,239.333,66.833,97.917,149,64.783,126.033,271.033,209.183,152.133,358.267,47.6,56.3
"Plumas",218.817,578.033,185.1,355.7,206.65,193.45,198.383,411.867,165.883,286.267,190.6,370.283,614.267,276.7,375.567,415.033,208.283,165.1,460.183,266.633,220.25,280.15,356.217,241.717,147.5,170.567,305.95,199.683,484.45,489.25,117.283,0,486.167,149.517,320.4,477.367,567.95,222.467,298.667,396.967,238.233,487.567,249.133,276.05,199.983,242.25,237.333,181.4,212.483,226.083,176.133,196.75,277.617,323.767,246.967,472.85,162.167,170.883
"Riverside",353.267,99.583,379.7,628.35,379.867,421.217,359.067,701.95,400.817,229.917,445.467,609.85,142.683,208.583,149.633,346.633,490.917,541.3,54.483,248.133,375.167,304.567,524.533,277.783,607.367,318.65,337.567,384.417,15.233,35.183,390.767,484.233,0,364.917,296.567,13.25,88.733,366.917,244.9,221.75,360.283,132.583,343.15,351.7,504.183,334.9,574.433,373.533,397.233,393.783,412.333,464.883,606.117,194.333,364.1,108.65,382.683,395.2
"Sacramento",79.617,437.233,63.933,302.483,75.683,63.033,59.183,381.8,42.283,149.767,87.3,296.117,497.4,330.7,239.067,278.55,132.75,183.117,319.667,130.15,80.483,143.1,216.467,104.667,273.883,224.017,166.183,59.917,366.817,348.183,34.717,150.75,361.983,0,179.317,360.983,422.3,82.7,157.583,255.883,98.483,346.483,109.383,136.3,146.217,102.483,216.467,41.65,72.733,122.4,54.367,106.917,248.15,186.717,129.65,331.767,24.717,37.233
"San Benito",123.967,368.217,193.833,400.217,190.1,218.483,139.433,473.817,214.95,150.033,242.75,381.717,428.383,338.8,178.8,279.467,288.2,338.567,250.65,134.817,147.283,170.067,296.65,131.117,447.683,329.567,88.3,165.033,297.833,279.2,205.15,321.183,293,179.317,0,292.017,353.333,133.8,127.8,102.883,115.833,193.483,98.717,96.383,301.7,90.467,371.95,154.15,176.567,223.017,226.733,262.4,403.65,151.55,211.933,215.817,187.583,209.6
"San Bernardino",350.167,105.917,376.6,625.267,376.767,418.117,355.983,698.85,397.717,226.833,442.383,606.767,142.15,198.667,146.533,343.55,487.833,538.2,56.217,245.033,372.217,301.633,521.583,274.85,597.617,308.9,334.617,381.483,11.717,44.75,387.817,474.483,13.433,361.983,293.617,0,95.217,363.967,241.967,218.8,357.333,129.633,340.217,348.75,501.233,331.967,571.483,370.583,394.283,390.85,409.4,461.95,603.183,191.383,361.167,105.717,379.733,392.267
"San Diego",411.967,27.033,438.4,687.05,438.567,479.917,417.767,760.65,459.517,288.617,504.167,668.55,103.883,288.817,208.333,405.333,549.617,600,110.767,306.817,434.833,364.25,584.2,337.467,688.583,399.867,397.233,444.1,96.45,84.167,450.433,565.45,88.183,424.6,356.233,94.467,0,426.583,304.583,279.417,419.95,190.25,402.833,411.367,563.85,394.583,634.1,433.2,456.9,453.467,472.017,524.567,665.8,254,423.783,166.317,442.35,454.883
"San Francisco",23.583,438.6,132.567,282.467,128.833,112.833,41.133,356.05,116.25,165.817,137.083,263.967,498.767,375.117,249.2,294.6,182.533,232.9,321.033,146.2,29.717,159.067,179.083,120.633,341.9,285.467,111.433,56.667,368.117,349.467,108,224.033,363.283,83.367,133.8,362.283,423.6,0,158.883,202.65,24.683,293.25,46.933,73.95,195.917,49.083,266.167,48.367,59,161.633,126.367,156.633,297.867,202.683,157.517,315.567,81.8,108.117
"San Joaquin",144.417,317.3,170.85,419.5,177.15,212.367,150.217,493.1,191.95,36.883,236.617,401,377.467,282.867,120.95,165.167,282.067,332.45,199.733,45.4,166.717,102.35,316.083,75.567,421.467,261.85,135.167,175.983,247.183,228.533,182.317,298.35,242.333,156.467,127.1,241.35,302.667,158.467,0,136.233,151.833,226.833,134.7,143.25,295.733,126.467,365.983,165.083,188.783,191.567,203.883,256.433,397.667,68.883,161.883,212.117,174.233,186.75
"San Luis Obispo",193.6,294.2,270.783,469.85,267.05,288.117,209.067,543.45,291.9,136.817,312.383,451.35,355.983,296.9,136.9,268.033,357.833,408.2,176.6,155.067,216.667,211.5,366.033,184.717,517.067,367.183,134.833,234.417,225.183,206.45,281.85,397.883,220.35,256.017,101.867,219.35,279.067,203.183,136,0,185.217,94.8,168.1,153.767,371.083,159.85,441.333,223.533,245.95,300.717,301.517,331.783,473.033,133.517,271.033,117.117,256.967,283.283
